City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Te Anau,NZ,2020-12-28 00:53:47,-45.42,167.72,67.69,39,0,2.75,clear sky
182,Tasiilaq,GL,2020-12-28 00:54:43,65.61,-37.64,26.6,49,100,2.24,overcast clouds
183,Rudnogorsk,RU,2020-12-28 01:01:14,57.26,103.75,-34.53,84,97,1.48,overcast clouds
184,Kapaa,US,2020-12-28 00:53:41,22.08,-159.32,80.6,69,75,14.99,broken clouds
185,Deep River,CA,2020-12-28 01:01:15,46.1,-77.5,25.0,73,90,10.29,overcast clouds
186,Kaspiysk,RU,2020-12-28 01:01:15,42.88,47.64,33.8,74,47,6.71,scattered clouds
187,Yellowknife,CA,2020-12-28 00:49:38,62.46,-114.35,1.4,84,75,12.75,broken clouds
188,Cotonou,BJ,2020-12-28 01:01:16,6.37,2.42,82.4,83,20,4.7,few clouds
189,Meulaboh,ID,2020-12-28 01:01:16,4.14,96.13,77.83,86,22,3.36,few clouds
190,Pochutla,MX,2020-12-28 00:58:55,15.74,-96.47,77.0,73,5,1.34,clear sky
191,Verkhniye Sergi,RU,2020-12-28 01:01:17,56.65,59.56,17.42,96,89,6.51,overcast clouds
192,Kruisfontein,ZA,2020-12-28 00:53:20,-34.0,24.73,64.99,79,0,4.14,clear sky
193,Miyako,JP,2020-12-28 01:01:17,39.64,141.95,44.15,64,96,1.83,overcast clouds
194,Mahebourg,MU,2020-12-28 00:54:28,-20.41,57.7,77.0,83,40,11.41,shower rain
195,Launceston,AU,2020-12-28 01:01:18,-41.45,147.17,63.0,44,40,9.17,scattered clouds
196,Sao Joao Da Barra,BR,2020-12-28 00:55:13,-21.64,-41.05,75.9,86,100,15.93,overcast clouds
197,Hirado,JP,2020-12-28 01:01:18,33.36,129.55,57.99,87,20,12.75,few clouds
198,Gubkinskiy,RU,2020-12-28 01:01:18,64.43,76.5,-27.27,80,100,21.36,overcast clouds
199,Isiro,CD,2020-12-28 01:01:19,2.77,27.62,66.81,97,0,1.32,clear sky
200,Mikuni,JP,2020-12-28 00:58:21,36.22,136.15,48.2,76,75,5.82,broken clouds
201,Constitucion,CL,2020-12-28 00:53:30,-35.33,-72.42,58.19,92,16,10.16,few clouds
202,Ryotsu,JP,2020-12-28 01:01:19,38.08,138.43,41.0,93,75,8.05,light intensity shower rain
203,Kolyvan,RU,2020-12-28 01:01:20,55.31,82.74,-34.6,73,100,4.47,mist
204,Asfi,MA,2020-12-28 01:01:20,32.3,-9.24,56.12,76,0,7.31,clear sky
205,Ribas Do Rio Pardo,BR,2020-12-28 01:01:20,-20.44,-53.76,74.48,89,32,2.39,scattered clouds
206,Nizwa,OM,2020-12-28 01:01:20,22.93,57.53,52.32,43,0,3.13,clear sky
207,Lagoa,PT,2020-12-28 00:55:30,39.05,-27.98,56.88,71,100,9.98,overcast clouds
208,Jalu,LY,2020-12-28 01:01:21,29.03,21.55,52.34,54,0,7.27,clear sky
209,Marandahalli,IN,2020-12-28 01:01:21,12.4,78.0,59.99,92,0,3.8,clear sky
210,Omsukchan,RU,2020-12-28 01:01:21,62.53,155.8,-29.06,81,92,4.41,overcast clouds
211,Cockburn Town,TC,2020-12-28 00:58:49,21.46,-71.14,75.2,83,40,6.93,light rain
212,Thunder Bay,CA,2020-12-28 01:01:22,48.4,-89.32,12.2,85,75,4.7,broken clouds
213,Chik,RU,2020-12-28 01:01:22,54.99,82.43,-34.6,73,100,4.47,mist
214,Kalmunai,LK,2020-12-28 00:53:47,7.42,81.82,76.32,89,100,8.88,moderate rain
215,Smithers,CA,2020-12-28 01:00:09,54.78,-127.17,30.2,74,75,2.24,light snow
216,Razole,IN,2020-12-28 01:01:23,16.48,81.83,63.59,93,92,4.12,overcast clouds
217,Auki,SB,2020-12-28 00:54:33,-8.77,160.7,85.69,71,100,3.38,moderate rain
218,Buraydah,SA,2020-12-28 00:52:07,26.33,43.98,46.4,81,75,10.29,broken clouds
219,Camana,PE,2020-12-28 00:59:27,-16.62,-72.71,71.17,76,100,5.73,overcast clouds
220,Baiquan,CN,2020-12-28 01:01:24,47.58,126.08,-7.89,90,24,3.69,few clouds
221,Narsaq,GL,2020-12-28 00:54:41,60.92,-46.05,33.8,64,100,5.82,moderate rain
222,Banikoara,BJ,2020-12-28 01:01:24,11.3,2.44,65.98,26,54,5.1,broken clouds
223,Bousse,BF,2020-12-28 01:01:24,12.66,-1.89,71.6,26,46,5.82,scattered clouds
224,Krasnoselkup,RU,2020-12-28 00:53:19,65.7,82.47,-33.09,81,0,10.04,clear sky
225,Voh,NC,2020-12-28 01:01:25,-20.97,164.7,85.57,62,13,5.03,few clouds
226,Saint-Paul,RE,2020-12-28 01:01:25,-21.01,55.27,77.0,69,40,14.99,scattered clouds
227,Tyachiv,UA,2020-12-28 01:01:25,48.01,23.57,42.01,92,100,6.87,overcast clouds
228,Kiunga,PG,2020-12-28 01:01:25,-6.12,141.29,73.89,97,100,1.23,light rain
229,Burnie,AU,2020-12-28 00:55:27,-41.07,145.92,59.0,41,100,8.01,overcast clouds
230,Inta,RU,2020-12-28 01:01:26,66.03,60.17,-16.13,81,96,11.36,overcast clouds
231,Lima,PE,2020-12-28 00:55:01,-12.04,-77.03,69.8,77,75,10.29,broken clouds
232,Rodrigues Alves,BR,2020-12-28 00:59:05,-7.74,-72.65,70.97,99,100,2.3,overcast clouds
233,Sorland,NO,2020-12-28 00:54:52,67.67,12.69,38.21,77,100,29.77,overcast clouds
234,At-Bashi,KG,2020-12-28 01:01:27,41.17,75.81,3.31,73,0,3.09,clear sky
235,Grand Gaube,MU,2020-12-28 00:54:41,-20.01,57.66,75.99,87,78,5.99,moderate rain
236,Caramay,PH,2020-12-28 01:01:27,10.18,119.24,82.4,77,98,5.39,overcast clouds
237,Victoria,HK,2020-12-28 00:54:02,22.29,114.16,70.0,70,0,13.15,clear sky
238,Witu,KE,2020-12-28 01:01:27,-2.39,40.44,73.31,92,0,3.2,clear sky
239,Energetik,RU,2020-12-28 01:01:28,51.74,58.79,24.01,98,100,13.58,snow
240,Sorong,ID,2020-12-28 00:54:23,-0.88,131.25,83.64,74,82,7.92,broken clouds
241,Richards Bay,ZA,2020-12-28 00:53:45,-28.78,32.04,73.71,81,65,10.98,broken clouds
242,Saint-Louis,SN,2020-12-28 00:54:00,16.33,-15.0,82.4,30,0,2.24,clear sky
243,Hobyo,SO,2020-12-28 00:53:48,5.35,48.53,77.32,77,35,16.98,scattered clouds
244,Novikovo,RU,2020-12-28 01:01:29,51.15,37.89,15.03,96,0,3.44,clear sky
245,La Palma,US,2020-12-28 01:01:29,33.85,-118.05,59.0,67,1,9.17,clear sky
246,Ginir,ET,2020-12-28 01:01:29,7.13,40.7,54.0,45,0,5.23,clear sky
247,Norman Wells,CA,2020-12-28 00:53:53,65.28,-126.83,-7.6,83,75,3.36,broken clouds
248,Laguna,US,2020-12-28 00:54:59,38.42,-121.42,55.4,54,1,5.82,clear sky
249,Xunchang,CN,2020-12-28 01:01:30,28.45,104.72,46.99,78,100,2.13,overcast clouds
250,Nkwerre,NG,2020-12-28 01:01:30,5.76,7.11,74.66,87,42,4.09,scattered clouds
251,Nouadhibou,MR,2020-12-28 00:54:37,20.93,-17.03,66.2,82,0,9.17,clear sky
252,Sibolga,ID,2020-12-28 00:57:35,1.74,98.78,79.39,69,100,2.68,overcast clouds
253,Fairbanks,US,2020-12-28 00:50:03,64.84,-147.72,-2.2,77,90,4.16,overcast clouds
254,Sechura,PE,2020-12-28 00:53:19,-5.56,-80.82,71.96,71,99,15.55,overcast clouds
255,Udachnyy,RU,2020-12-28 01:01:32,66.42,112.4,-4.0,76,90,8.95,light snow
256,Luderitz,NA,2020-12-28 00:54:25,-26.65,15.16,64.4,72,0,19.46,clear sky
257,Evensk,RU,2020-12-28 00:55:23,61.95,159.23,3.38,83,30,11.07,scattered clouds
258,Rio Gallegos,AR,2020-12-28 01:01:32,-51.62,-69.22,66.2,16,0,17.22,clear sky
259,Nefteyugansk,RU,2020-12-28 00:58:03,61.1,72.6,-5.8,76,90,15.66,light snow
260,Cuenca,EC,2020-12-28 00:59:37,-2.88,-78.98,55.4,82,75,11.41,broken clouds
261,Mahon,ES,2020-12-28 01:01:33,39.89,4.27,57.2,71,0,25.28,clear sky
262,Storforshei,NO,2020-12-28 01:01:33,66.4,14.52,21.6,89,100,10.07,overcast clouds
263,Sarahan,IN,2020-12-28 01:01:33,31.52,77.8,29.34,83,100,1.97,light snow
264,Kapit,MY,2020-12-28 00:54:28,2.02,112.93,79.65,85,92,1.07,overcast clouds
265,Tukrah,LY,2020-12-28 01:01:35,32.53,20.58,57.4,62,0,10.22,clear sky
266,Palafrugell,ES,2020-12-28 01:01:35,41.92,3.16,52.0,25,0,28.59,clear sky
267,Serabu,SL,2020-12-28 01:01:35,7.8,-12.05,74.59,95,0,1.34,clear sky
268,Karratha,AU,2020-12-28 00:55:11,-20.74,116.85,87.53,58,98,10.89,overcast clouds
269,Nome,US,2020-12-28 00:54:53,64.5,-165.41,27.0,92,90,26.4,light snow
